Rank,Lemma_PT,POS,Gloss_EN,Variety,Register_Flags,Range_Blocks,Raw_Freq,Example_PT,Example_EN,Freq_Band,Thematic_Source,Tags
51,dia,nm,day,EP,,,,anova lei garante os mesmos direitos • no estabelecimento do velho trabalhavam jurídicos e sociais aos casais homossexuais noite e dia,"In the old man’s store, they –The new law guarantees the same judicial worked day and night. and social rights to homosexual couples. 100 | 30068 100 | 35492 +s",0001-0500,,freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
162,voltar,v,to return,EP,,,,oproblema é mais grave,"The problem is • quando voltou para casa, fechou-se no worse. quarto – When he returned home, he shut 100 | 9974 +s himself in his room. 99 | 11078",0001-0500,,freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
174,considerar,v,to consider,EP,,,,ao lavar as mãos ele olhava-se no espelho e,,0001-0500,,freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::verb
221,brasileiro,na,Brazilian,EP,,,,refiro-me às diferenças sociais marcadas pelo • ofutebol brasileiro surpreendeu o mundo na fosso que separa ricos e pobres,Copa de 1970 – Brazilian soccer surprised Iamreferring to the social differences the world in the 1970 World Cup. marked by the gap that separates the rich 99 | 7980 +s from the poor.,0001-0500,,freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::na
319,animal,nm,animal 97 | 7200 +s,EP,,,,"Entretanto, outros animais tão ferozes",e,0001-0500,,freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.masc
354,militar,na,"military, soldier 97 |",EP,,,,,,0001-0500,,freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::na
427,porta,nf,door understanding,EP,,,,opai fechou a porta da rua,The father • este estudo leva a um melhor conhecimento closed the door to the street. da estrutura interna da Terra – This study 96 | 6939 leads to a better understanding of the,0001-0500,,freq::0001-0500 freq500::0001-0500 freq1000::0001-0500 pos::noun.fem
505,quarto,na,"room, bedroom, fourth groups interest us.",EP,,,,transformámos a saleta de estar em quarto 98 | 2110 +s de dormir,We transformed the living room,0501-1000,,freq::0501-1000 freq500::0501-1000 freq1000::0501-1000 pos::na
517,interessar,v,"to interest, concern twenties, maybe thirty.",EP,,,,apenas nos interessam os melhores grupos 98 | 2550 +s de investigação,Only the best investigative,0501-1000,,freq::0501-1000 freq500::0501-1000 freq1000::0501-1000 pos::verb
598,fugir,v,"to flee, run away",EP,,,,,,0501-1000,,freq::0501-1000 freq500::0501-1000 freq1000::0501-1000 pos::verb
876,religioso,na,religious (person),EP,,,,,,0501-1000,,freq::0501-1000 freq500::0501-1000 freq1000::0501-1000 pos::na
996,ouro,nm,gold of wine.,EP,,,,"éuma excelente cavaleira, tendo ganho uma 88 | 1588 +s medalha de ouro","She is an excellent rider,",0501-1000,,freq::0501-1000 freq500::0501-1000 freq1000::0501-1000 pos::noun.masc
1130,enviar,v,tosend,EP,,,,,,1001-1500,,freq::1001-1500 freq500::1001-1500 freq1000::1001-1500 pos::verb
1141,esperança,nf,hope,EP,,,,"essa estranha criatura, metade homem, • épreciso acreditar e não perder a metade cavalo, era também filósofo","That esperança – One needs to believe and not strange creature, half man, half horse, was lose hope. also a philosopher. 84 | 1757 83 | 2244",1001-1500,,freq::1001-1500 freq500::1001-1500 freq1000::1001-1500 pos::noun.fem
1166,colégio,nm,"high school, private school [EP]",EP,,,,uma característica peculiar deste sistema • ele realizou seus estudos no Colégio Pedro II operacional é sua distribuição gratuita,ena Escola Naval – He studied at Pedro II Apeculiar characteristic of this operational high school and in the Naval Academy. system is its free distribution. 85|1048 82 | 3399 | +a,1001-1500,,freq::1001-1500 freq500::1001-1500 freq1000::1001-1500 pos::noun.masc
1252,análise,nf,analysis,EP,,,,vou precisar fazer uma análise da situação,,1001-1500,,freq::1001-1500 freq500::1001-1500 freq1000::1001-1500 pos::noun.fem
1529,edição,nf,edition,EP,,,,conseguimos pegar a música regional do • esta edição especial da revista mostrar-lhe-á Nordeste e misturá-la ao instrumental também o filme do ano,This special eletrônico – We were able to take the edition of the magazine will also tell you what regional music of the Northeast and mix it the Film of the Year is. with techno music. 75 | 1606+n 74 | 2195+n -f,1501-2000,,freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.fem
1577,sindicato,nm,"workers’ union, syndicate viam jazer a neve – On the peaks of the",EP,,,,"osindicato e os trabalhadores vão exigir do highest mountains, they saw a blanket of governo os respectivos reajustes",snow. The workers’ union and the workers will 76 | 1101 demand the necessary adjustments from the government.,1501-2000,,freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1685,património,nm,"estate, heritage, patrimony",EP,,,,,,1501-2000,,freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1811,empresário,nm,"entrepreneur, business",EP,,,,,,1501-2000,,freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
1938,vestido,nm,dress,EP,,,,,,1501-2000,,freq::1501-2000 freq500::1501-2000 freq1000::1501-2000 pos::noun.masc
2022,superar,v,"to overcome, surpass, exceed um novo gás à gasolina – The decline and",EP,,,,"apesar de tudo o que os pais fizeram para o then rediscovery of oil gave new gas to ajudar, ele não conseguiu superar a gaguez gasoline.","In spite of everything his parents did to 67 | 1082+a help him, he was not able to overcome his stuttering.",2001-2500,,freq::2001-2500 freq500::2001-2500 freq1000::2001-2500 pos::verb
2201,rejeitar,v,to reject only delivered after the check is cashed.,EP,,,,as altas autoridades libanesas rejeitaram 65 | 599 aproposta de uma retirada condicional israelita,High Lebanese authorities rejected,2001-2500,,freq::2001-2500 freq500::2001-2500 freq1000::2001-2500 pos::verb
2212,classificar,v,to classify,EP,,,,,,2001-2500,,freq::2001-2500 freq500::2001-2500 freq1000::2001-2500 pos::verb
2233,atento,aj,"alert, attentive Deus não tolerava a indiferença – Ihad",EP,,,,fiquei muito atento à espera de novo sinal,"always had the conviction that God doesn’t Iremained very alert, waiting for a new tolerate indifference. signal. 64 | 638 64 | 742-a",2001-2500,,freq::2001-2500 freq500::2001-2500 freq1000::2001-2500 pos::aj
2411,cristal,nm,crystal,EP,,,,,,2001-2500,,freq::2001-2500 freq500::2001-2500 freq1000::2001-2500 pos::noun.masc
2421,desportivo,na,"athletic, sports (club) [EP] but, unfortunately, don’t even have money to",EP,,,,aactividade é integrada nos primeiros jogos buy the paint. desportivos [EP],The activity is an integral part of the first sporting events. 62 | 569 60 | 1067+n -f,2001-2500,,freq::2001-2500 freq500::2001-2500 freq1000::2001-2500 pos::na
2588,transferir,v,to transfer of sugar cane is called “bagaço” in,EP,,,,ocalor é transferido por condução,Portuguese. Heat is transferred through conduction. 59 | 484 59 | 518,2501-3000,,freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::verb
2757,•,na,"frente dela ele ficava calado, não tinha coragem de abrir a boca – In front of her he",EP,,,,,,2501-3000,,freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::na
2838,protocolo,nm,protocol intervenção governamental só agravou os,EP,,,,aUnião Europeia adoptou o Protocolo de problemas,"Besides being unconstitutional Cartagena de biossegurança – The European and illegal, the governmental intervention Union adopted the Carthage Protocol for only made the problems worse. bio-security. 56 | 680+n -s 55 | 594+n -f",2501-3000,,freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::noun.masc
2915,assustar,v,"tofrighten, scare instrumentos tais como a roda – In the",EP,,,,"ela gritara com tal veemência que cheguei Middle Ages, physical torture was performed ame assustar",She shouted with such with instruments such as the wheel. vehemence that I began to be frightened. 54 | 413 53 | 725+f -a,2501-3000,,freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::verb
2997,abraçar,v,"to hug, embrace",EP,,,,a violência dos protestos levou à declaração • Maria não deixou também de abraçar e do estado de emergência,The violence of confortar os amigos do filho – Maria the protests led to the declaration of a state of also hugged and comforted her son’s emergency. friends. 53 | 471 52 | 688+f,2501-3000,,freq::2501-3000 freq500::2501-3000 freq1000::2501-3000 pos::verb
3125,expandir,v,to expand,EP,,,,"não precisou de maiores exames para fazer o • a economia norte-americana expandiu 30%, seu diagnóstico: pneumonia","I don’t need gerando renda numa velocidade espantosa any more tests to make the diagnosis: – The North American economy expanded pneumonia. 30%, generating income at an amazing 51 | 442 rate.",3001-3500,,freq::3001-3500 freq500::3001-3500 freq1000::3001-3500 pos::verb
3214,referendo,nm,referendum [EP],EP,,,,"o reitor advogou que os professores • a lei do aborto é matéria susceptível de não devem ser despedidos sem o seu referendo, confirmou o constitucionalista. conhecimento","The dean argued that [EP] – The abortion law is an issue which can professors should not be let go without his be open to a referendum, confirmed the knowledge. constitutionalist. 49 | 356 59 | 545+s -f",3001-3500,,freq::3001-3500 freq500::3001-3500 freq1000::3001-3500 pos::noun.masc
3388,derrotar,v,"to defeat, overthrow",EP,,,,"por isso, ele vai utilizar todas as armas para",,3001-3500,,freq::3001-3500 freq500::3001-3500 freq1000::3001-3500 pos::verb
3393,vereador,nm,city council member,EP,,,,ele é vereador na Câmara Municipal,He is,3001-3500,,freq::3001-3500 freq500::3001-3500 freq1000::3001-3500 pos::noun.masc
3739,brilhar,v,"to sparkle, shine",EP,,,,a luz do dia entrava pela sala e fazia brilhar,,3501-4000,,freq::3501-4000 freq500::3501-4000 freq1000::3501-4000 pos::verb
3760,liberado,aj,"free, available [BP] summer.",EP,,,,se aplicar corretamente os recursos liberados para os programas sociais,If they 43 | 467+n use the available resources well for social,3501-4000,,freq::3501-4000 freq500::3501-4000 freq1000::3501-4000 pos::aj
3787,favela,nf,"slum, ghetto [BP] including the Armed Forces.",EP,,,,todos foram unânimes em acusar os 42 | 254 traficantes da favela,There was unanimous agreement in accusing the slum’s drug,3501-4000,,freq::3501-4000 freq500::3501-4000 freq1000::3501-4000 pos::noun.fem
3946,florestal,aj,relating to the forest – In the beginning they would have to,EP,,,,os macacos que vivem nas regiões florestais contract foreign and Portuguese musicians das Américas são bastante diversos,The for the concerts. monkeys that live in the forest regions of the 40 | 323+n Americas are very diverse.,3501-4000,,freq::3501-4000 freq500::3501-4000 freq1000::3501-4000 pos::aj
4052,latim,nm,Latin,EP,,,,o movimento estético surrealista baseou-se • a palavra “artigo” é derivada do latim enormemente nas idéias de Freud,The “articulum” – The word “article” is derived aesthetic surrealist movement is widely based from the Latin “articulum.” on Freud’s ideas. 41 | 392+a -n -s 40 | 265+s,4001-4500,,freq::4001-4500 freq500::4001-4500 freq1000::4001-4500 pos::noun.masc
4150,padrinho,nm,"godfather, godparents (pl)",EP,,,,,,4001-4500,,freq::4001-4500 freq500::4001-4500 freq1000::4001-4500 pos::noun.masc
4359,caminhada,nf,"walk, trek",EP,,,,"nas regiões tropicais existe o dobro das • ela retomou a caminhada vagarosa, sempre espécies presentes nas regiões temperadas apoiada no braço do companheiro","She – In tropical regions, there is twice the resumed her slow walk, always supported on amount of species found in temperate her companion’s arm. regions. 38 | 289-a 36 | 265",4001-4500,,freq::4001-4500 freq500::4001-4500 freq1000::4001-4500 pos::noun.fem
4474,ilustração,nf,illustration,EP,,,,,,4001-4500,,freq::4001-4500 freq500::4001-4500 freq1000::4001-4500 pos::noun.fem
4501,pendurado,aj,hung,EP,,,,,,4501-5000,,freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::aj
4543,nulo,aj,"void, null",EP,,,,,,4501-5000,,freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::aj
4605,abdicar,v,to abdicate 35 | 250+a -n,EP,,,,"no mês seguinte, o rei abdicava do trono, em favor do seu irmão",In the following,4501-5000,,freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::verb
4622,pardo,aj,"mulatto, off-white 37 | 276+n -s",EP,,,,"apenas 0,6% de negros e pardos tinham",,4501-5000,,freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::aj
4794,sinistro,aj,"sinister Many, knowing of the danger, fled from",EP,,,,e há mais aspectos sinistros nesta violenta the world and from secular life to a religious transformação da China,And there are yet life. more sinister aspects behind this violent 34 | 202 transformation in China. 36 | 254+f -s,4501-5000,,freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::aj
4873,vulcão,nm,volcano mais confiantes – People with a positive,EP,,,,nesta ilha está localizado o vulcão activo self-image are more confident. mais meridional do mundo,On this island is found the world’s southernmost active 32 | 243+n -a volcano.,4501-5000,,freq::4501-5000 freq500::4501-5000 freq1000::4501-5000 pos::noun.masc
